seq,open,high,low,close,ticks,open_time,duration,pip_hl,pip_co,spreed_min,spreed_max,med_low,med_high,big_low,big_high,med_dc_hl_pip,big_dc_hl_pip
35,1770.44,1770.44,1769.42,1770.19,300,2021-10-18 01:20:41,0:03:02,10199.999999999818,2500.0,0.0,0.0,1769.42,1772.11,1764.87,1772.11,26899.999999998272,72400.00000000009
36,1770.2,1770.94,1769.85,1770.46,300,2021-10-18 01:23:44,0:03:44,10900.000000001455,2599.999999999909,0.0,0.0,1769.42,1772.11,1764.87,1772.11,26899.999999998272,72400.00000000009
37,1770.46,1770.59,1769.99,1770.24,300,2021-10-18 01:27:29,0:03:28,5999.9999999990905,2200.000000000273,0.0,0.0,1769.42,1772.11,1764.87,1772.11,26899.999999998272,72400.00000000009
38,1770.3,1771.69,1770.21,1771.39,300,2021-10-18 01:30:57,0:03:37,14800.000000000182,10900.000000001455,0.0,0.0,1769.42,1772.11,1764.87,1772.11,26899.999999998272,72400.00000000009
39,1771.34,1771.44,1770.82,1771.14,300,2021-10-18 01:34:35,0:03:23,6200.000000001182,1999.999999998181,0.0,0.0,1769.42,1772.11,1764.87,1772.11,26899.999999998272,72400.00000000009
40,1771.14,1771.59,1770.77,1771.34,300,2021-10-18 01:37:58,0:04:26,8199.999999999363,1999.999999998181,0.0,0.0,1769.42,1771.73,1767.89,1772.11,23099.999999999454,42199.999999998
41,1771.29,1771.51,1770.72,1771.11,300,2021-10-18 01:42:24,0:04:46,7899.999999999636,1800.0000000006366,0.0,0.0,1769.42,1771.73,1767.89,1772.11,23099.999999999454,42199.999999998
42,1771.06,1771.06,1770.13,1770.13,300,2021-10-18 01:47:10,0:03:27,9299.999999998363,9299.999999998363,0.0,0.0,1769.42,1771.69,1767.89,1772.11,22699.999999999818,42199.999999998
43,1770.15,1770.69,1769.95,1770.43,300,2021-10-18 01:50:38,0:04:38,7400.000000000091,2799.999999999727,0.0,0.0,1769.42,1771.69,1768.96,1772.11,22699.999999999818,31499.999999998636
44,1770.45,1770.86,1770.43,1770.69,300,2021-10-18 01:55:16,0:04:28,4299.999999998363,2400.000000000091,0.0,0.0,1769.42,1771.69,1768.96,1772.11,22699.999999999818,31499.999999998636
45,1770.54,1771.01,1770.29,1770.69,300,2021-10-18 01:59:45,0:03:26,7200.000000000273,1500.0000000009095,0.0,0.0,1769.42,1771.69,1768.96,1772.11,22699.999999999818,31499.999999998636
